;;;ÓÁÌË˜Ì˚Â;œÓÎÂ 3;œÓÎÂ 2;œÓÎÂ 1;œÓÎÂ 4;œÓÎÂ 7
VKJA3187;SKF;0;3684.12;3131.7;2763.42;2578.62;2542.32;2468.4
VKJA3190;SKF;0;3649.14;3102;2737.02;2554.2;2517.9;2444.64
VKJA3193;SKF;0;3828.66;3254.46;2871.66;2680.26;2641.98;2565.42
VKJA3196;SKF;0;5866.08;4986.3;4399.56;4106.52;4047.78;3930.3
VKJA3197;SKF;0;4510.44;3833.94;3383.16;3157.44;3111.9;3022.14
VKJA3201;SKF;0;3689.4;3136.32;2767.38;2582.58;2545.62;2471.7
VKJA3202;SKF;0;4292.64;3648.48;3219.48;3004.98;2962.08;2876.28
VKJA3206;SKF;0;3966.6;3371.94;2975.28;2776.62;2737.02;2657.82
VKJA3208;SKF;0;3109.92;2643.3;2332.44;2176.68;2145.66;2083.62
VKJA3211;SKF;0;4748.7;4036.56;3561.36;3324.42;3276.9;3181.86
VKJA3214;SKF;0;3488.76;2965.38;2616.9;2442;2407.02;2337.72
VKJA3216;SKF;0;4632.54;3937.56;3474.24;3242.58;3196.38;3103.98
VKJA3217;SKF;0;5586.9;4748.7;4190.34;3911.16;3855.06;3743.52
VKJA3218;SKF;0;4727.58;4018.74;3545.52;3309.24;3261.72;3167.34
VKJA3219;SKF;0;2869.02;2438.7;2151.6;2008.38;1979.34;1921.92
VKJA3221;SKF;0;2892.78;2459.16;2169.42;2024.88;1995.84;1938.42
VKJA3224;SKF;0;4625.94;3932.28;3469.62;3237.96;3191.76;3099.36
VKJA3228;SKF;0;4129.62;3509.88;3097.38;2890.8;2849.22;2766.72
VKJA3234;SKF;0;4138.2;3517.8;3103.98;2896.74;2855.16;2772.66
VKJA3235;SKF;0;3884.76;3301.98;2913.9;2719.2;2680.26;2603.04
VKJA3416;SKF;0;4686;3983.1;3514.5;3280.2;3233.34;3139.62
VKJA3442;SKF;0;6434.34;5469.42;4825.92;4503.84;4439.82;4311.12
VKJA3512;SKF;0;4277.46;3635.94;3208.26;2994.42;2951.52;2865.72
VKJA3513;SKF;0;3598.98;3059.1;2699.4;2519.22;2483.58;2411.64
VKJA3515;SKF;0;4610.76;3919.08;3458.4;3227.4;3181.2;3089.46
VKJA3525;SKF;0;4080.78;3468.96;3060.42;2856.48;2815.56;2734.38
VKJA3627;SKF;0;3692.04;3138.3;2769.36;2584.56;2547.6;2473.68
VKJA3644;SKF;0;3564;3029.4;2673;2494.8;2459.16;2387.88
VKJA3670;SKF;0;8455.92;7187.4;6341.94;5918.88;5834.4;5665.44
VKJA3749;SKF;0;4217.4;3585.12;3163.38;2952.18;2909.94;2825.46
VKJA3782;SKF;0;3189.12;2710.62;2391.84;2232.12;2200.44;2136.42
VKJA3867;SKF;0;4356.66;3703.26;3267.66;3049.86;3006.3;2919.18
VKJA3872;SKF;0;4593.6;3904.56;3445.2;3215.52;3169.32;3077.58
VKJA3930;SKF;0;10373.22;8816.94;7780.08;7261.32;7157.7;6949.8
VKJA3931;SKF;0;8173.44;6947.16;6130.08;5721.54;5639.7;5476.02
VKJA3932;SKF;0;6421.8;5458.86;4816.68;4495.26;4431.24;4302.54
VKJA3933;SKF;0;10062.36;8552.94;7547.1;7043.52;6943.2;6741.9
VKJA3934;SKF;0;4542.12;3861;3406.92;3179.22;3134.34;3043.26
VKJA3935;SKF;0;9003.72;7653.36;6753.12;6302.34;6212.58;6032.4
VKJA3942;SKF;0;4689.96;3986.4;3517.8;3282.84;3235.98;3142.26
VKJA3945;SKF;0;5018.64;4265.58;3763.98;3513.18;3463.02;3362.7
VKJA3946;SKF;0;4235.88;3600.3;3177.24;2965.38;2922.48;2838
VKJA3947;SKF;0;3533.64;3003.66;2650.56;2473.68;2438.04;2367.42
VKJA3948;SKF;0;3659.04;3109.92;2744.28;2561.46;2524.5;2451.24
VKJA3949;SKF;0;4664.88;3965.28;3498.66;3265.68;3218.82;3125.76
VKJA3950;SKF;0;4150.74;3528.36;3113.22;2905.32;2863.74;2781.24
VKJA3951;SKF;0;4264.92;3625.38;3199.02;2985.18;2942.94;2857.8
VKJA3952;SKF;0;4175.82;3549.48;3131.7;2923.14;2881.56;2797.74
VKJA3953;SKF;0;3911.16;3324.42;2933.7;2737.68;2698.74;2620.2
VKJA3954;SKF;0;4328.94;3679.5;3246.54;3030.06;2987.16;2900.7
VKJA3955;SKF;0;3392.4;2883.54;2544.3;2374.68;2341.02;2273.04
VKJA3956;SKF;0;3005.64;2554.86;2254.56;2104.08;2073.72;2013.66
VKJA3957;SKF;0;5173.74;4397.58;3880.14;3621.42;3569.94;3466.32
VKJA3958;SKF;0;5655.54;4807.44;4241.82;3958.68;3902.58;3789.06
VKJA3959;SKF;0;4345.44;3693.36;3259.08;3041.94;2998.38;2911.26
VKJA3960;SKF;0;5574.36;4738.14;4181.1;3901.92;3846.48;3734.94
VKJA3961;SKF;0;3734.28;3173.94;2801.04;2614.26;2576.64;2502.06
VKJA3962;SKF;0;3494.7;2970.66;2620.86;2446.62;2411.64;2341.68
VKJA3963;SKF;0;3161.4;2687.52;2371.38;2212.98;2181.3;2117.94
VKJA3964;SKF;0;4158;3534.3;3118.5;2910.6;2869.02;2785.86
VKJA3966;SKF;0;4170.54;3544.86;3127.74;2919.18;2877.6;2794.44
VKJA3970;SKF;0;5085.96;4323;3814.8;3560.04;3509.22;3407.58
VKJA4000;SKF;0;4765.2;4050.42;3573.9;3335.64;3288.12;3192.42
VKJA5089;SKF;0;5166.48;4391.64;3874.86;3616.8;3564.66;3461.7
VKJA5108;SKF;0;3144.9;2673;2358.84;2201.76;2170.08;2107.38
VKJA5110;SKF;0;3546.18;3014.22;2659.8;2482.26;2446.62;2376
VKJA5124;SKF;0;3023.46;2570.04;2267.76;2116.62;2086.26;2025.54
VKJA5127;SKF;0;3868.92;3288.78;2902.02;2707.98;2669.7;2592.48
VKJA5128;SKF;0;3507.24;2981.22;2630.76;2455.2;2420.22;2349.6
VKJA5129;SKF;0;3282.84;2790.48;2462.46;2298.12;2265.12;2199.78
VKJA5130;SKF;0;3937.56;3346.86;2953.5;2756.16;2717.22;2638.02
VKJA5131;SKF;0;3675.54;3124.44;2756.82;2572.68;2536.38;2462.46
VKJA5132;SKF;0;3794.34;3225.42;2845.92;2655.84;2618.22;2542.32
VKJA5133;SKF;0;4637.16;3941.52;3478.2;3245.88;3199.68;3106.62
VKJA5134;SKF;0;3546.18;3014.22;2659.8;2482.26;2446.62;2376
VKJA5135;SKF;0;3573.9;3037.98;2680.26;2502.06;2465.76;2394.48
VKJA5136;SKF;0;3496.02;2971.32;2622.18;2447.28;2412.3;2342.34
VKJA5138;SKF;0;3557.4;3024.12;2668.38;2490.18;2454.54;2383.26
VKJA5139;SKF;0;3533.64;3003.66;2650.56;2473.68;2438.04;2367.42
VKJA5140;SKF;0;4168.56;3543.54;3126.42;2917.86;2876.28;2793.12
VKJA5141;SKF;0;2717.22;2309.34;2038.08;1902.12;1875.06;1820.28
VKJA5142;SKF;0;4337.52;3686.76;3253.14;3036;2993.1;2905.98
VKJA5143;SKF;0;4557.3;3873.54;3418.14;3190.44;3144.24;3053.16
VKJA5144;SKF;0;3756.72;3193.08;2817.54;2629.44;2591.82;2517.24
VKJA5145;SKF;0;6495.72;5521.56;4872.12;4546.74;4482.06;4352.04
VKJA5146;SKF;0;4115.76;3498.66;3086.82;2880.9;2839.98;2757.48
VKJA5149;SKF;0;3690.72;3136.98;2768.04;2583.24;2546.28;2473.02
VKJA5179;SKF;0;3980.46;3383.16;2985.18;2786.52;2746.26;2667.06
VKJA5181;SKF;0;4651.02;3953.4;3488.1;3255.78;3208.92;3115.86
VKJA5183;SKF;0;3474.9;2953.5;2606.34;2432.76;2397.78;2328.48
VKJA5185;SKF;0;3359.4;2855.82;2519.88;2351.58;2317.92;2250.6
VKJA5198;SKF;0;3853.74;3275.58;2890.14;2697.42;2659.14;2581.92
VKJA5199;SKF;0;4210.8;3579.18;3158.1;2947.56;2905.32;2821.5
VKJA5201;SKF;0;3525.06;2996.4;2643.96;2467.74;2432.1;2361.48
VKJA5202;SKF;0;3956.7;3363.36;2967.36;2770.02;2730.42;2651.22
VKJA5203;SKF;0;5262.84;4473.48;3947.46;3684.12;3631.32;3526.38
VKJA5204;SKF;0;5542.68;4711.08;4157.34;3880.14;3824.7;3713.82
VKJA5205;SKF;0;4120.38;3502.62;3090.12;2884.2;2843.28;2760.78
VKJA5206;SKF;0;8532.48;7252.74;6399.36;5973;5887.2;5716.92
VKJA5207;SKF;0;3474.9;2953.5;2606.34;2432.76;2397.78;2328.48
VKJA5208;SKF;0;4306.5;3660.36;3230.04;3014.88;2971.32;2885.52
VKJA5224;SKF;0;6287.82;5344.68;4715.7;4401.54;4338.84;4212.78
VKJA5228;SKF;0;3872.22;3291.42;2904;2710.62;2671.68;2594.46
VKJA5231;SKF;0;3582.48;3045.24;2686.86;2508;2471.7;2400.42
VKJA5234;SKF;0;4901.82;4166.58;3676.2;3431.34;3382.5;3284.16
VKJA5236;SKF;0;3418.14;2905.32;2563.44;2392.5;2358.84;2290.2
VKJA5237;SKF;0;4260.96;3622.08;3195.72;2982.54;2940.3;2855.16
VKJA5244;SKF;0;4732.86;4022.7;3549.48;3313.2;3265.68;3171.3
VKJA5255;SKF;0;4095.3;3480.84;3071.64;2867.04;2825.46;2743.62
VKJA5258;SKF;0;3696.66;3142.26;2772.66;2587.86;2550.9;2476.98
VKJA5259;SKF;0;3711.84;3154.8;2783.88;2598.42;2561.46;2486.88
VKJA5260;SKF;0;4634.52;3939.54;3476.22;3243.9;3197.7;3105.3
VKJA5261;SKF;0;5499.78;4674.78;4125;3849.78;3795;3684.78
VKJA5263;SKF;0;4263.6;3624.06;3197.7;2984.52;2941.62;2856.48
VKJA5264;SKF;0;3633.96;3088.8;2725.8;2543.64;2507.34;2434.74
VKJA5265;SKF;0;4139.52;3518.46;3104.64;2897.4;2856.48;2773.32
VKJA5266;SKF;0;4567.2;3882.12;3425.4;3197.04;3151.5;3059.76
VKJA5267;SKF;0;4043.16;3436.62;3032.7;2830.08;2789.82;2708.64
VKJA5268;SKF;0;3668.94;3118.5;2751.54;2568.06;2531.76;2458.5
VKJA5269;SKF;0;4990.92;4242.48;3743.52;3493.38;3443.88;3344.22
VKJA5270;SKF;0;4609.44;3917.76;3457.08;3226.74;3180.54;3088.14
VKJA5271;SKF;0;3958.68;3364.68;2969.34;2771.34;2731.74;2652.54
VKJA5272;SKF;0;3769.26;3203.64;2826.78;2638.68;2601.06;2525.16
VKJA5276;SKF;0;4154.7;3531.66;3115.86;2908.62;2867.04;2783.88
VKJA5279;SKF;0;4889.28;4156.02;3666.96;3422.76;3373.92;3275.58
VKJA5285;SKF;0;4392.96;3734.28;3294.72;3074.94;3031.38;2943.6
VKJA5289;SKF;0;4510.44;3833.94;3383.16;3157.44;3111.9;3022.14
VKJA5296;SKF;0;3111.24;2644.62;2333.76;2178;2146.98;2084.28
VKJA5297;SKF;0;4366.56;3711.84;3274.92;3056.46;3012.9;2925.78
VKJA5301;SKF;0;3966.6;3371.94;2975.28;2776.62;2737.02;2657.82
VKJA5303;SKF;0;4136.88;3516.48;3102.66;2896.08;2854.5;2772
VKJA5304;SKF;0;2145.66;1823.58;1609.08;1502.16;1480.38;1437.48
VKJA5305;SKF;0;2426.82;2062.5;1820.28;1698.84;1674.42;1626.24
VKJA5306;SKF;0;3344.22;2842.62;2508;2341.02;2307.36;2240.7
VKJA5307;SKF;0;3196.38;2717.22;2397.12;2237.4;2205.72;2141.7
VKJA5308;SKF;0;3196.38;2717.22;2397.12;2237.4;2205.72;2141.7
VKJA5309;SKF;0;4756.62;4043.16;3567.3;3329.7;3282.18;3187.14
VKJA5310;SKF;0;4272.18;3631.32;3204.3;2990.46;2947.56;2862.42
VKJA5311;SKF;0;2994.42;2544.96;2245.98;2096.16;2066.46;2006.4
VKJA5312;SKF;0;4179.78;3552.78;3135;2925.78;2884.2;2800.38
VKJA5314;SKF;0;2727.78;2318.58;2046;1909.38;1882.32;1827.54
VKJA5315;SKF;0;3764.64;3199.68;2823.48;2635.38;2597.76;2522.52
VKJA5316;SKF;0;3445.86;2929.08;2584.56;2412.3;2377.32;2308.68
VKJA5317;SKF;0;3074.94;2613.6;2306.04;2152.26;2121.9;2060.52
VKJA5318;SKF;0;3331.68;2832.06;2498.76;2332.44;2298.78;2232.12
VKJA5319;SKF;0;3881.46;3299.34;2911.26;2717.22;2678.28;2600.4
VKJA5320;SKF;0;3990.36;3391.74;2993.1;2793.12;2753.52;2673.66
VKJA5321;SKF;0;4379.1;3722.4;3284.16;3065.7;3021.48;2933.7
VKJA5322;SKF;0;2994.42;2544.96;2245.98;2096.16;2066.46;2006.4
VKJA5323;SKF;0;4149.42;3527.04;3111.9;2904.66;2863.08;2779.92
VKJA5324;SKF;0;4695.24;3991.02;3521.76;3286.8;3239.94;3145.56
VKJA5326;SKF;0;2904;2468.4;2178;2032.8;2003.76;1945.68
VKJA5327;SKF;0;4593.6;3904.56;3445.2;3215.52;3169.32;3077.58
VKJA5328;SKF;0;5421.24;4608.12;4066.26;3795;3740.88;3631.98
VKJA5329;SKF;0;3626.7;3082.86;2719.86;2539.02;2502.72;2430.12
VKJA5331;SKF;0;4040.52;3434.64;3030.72;2828.1;2787.84;2707.32
VKJA5332;SKF;0;4533.54;3853.74;3400.32;3173.28;3128.4;3037.32
VKJA5333;SKF;0;4564.56;3880.14;3423.42;3195.06;3149.52;3058.44
VKJA5335;SKF;0;4126.98;3507.9;3095.4;2888.82;2847.9;2765.4
VKJA5336;SKF;0;3548.82;3016.2;2661.78;2484.24;2448.6;2377.98
VKJA5337;SKF;0;2828.1;2403.72;2121.24;1980;1951.62;1894.86
VKJA5338;SKF;0;5348.64;4546.08;4011.48;3744.18;3690.72;3583.8
VKJA5339;SKF;0;4518.36;3840.54;3389.1;3162.72;3117.84;3027.42
VKJA5340;SKF;0;2925.78;2486.88;2194.5;2047.98;2018.94;1960.2
VKJA5341;SKF;0;3491.4;2968.02;2618.88;2443.98;2409;2339.04
VKJA5342;SKF;0;3204.96;2724.48;2403.72;2243.34;2211.66;2147.64
VKJA5344;SKF;0;5085.96;4323;3814.8;3560.04;3509.22;3407.58
VKJA5345;SKF;0;4134.24;3513.84;3100.68;2894.1;2852.52;2770.02
VKJA5346;SKF;0;3557.4;3024.12;2668.38;2490.18;2454.54;2383.26
VKJA5347;SKF;0;4412.76;3750.78;3309.9;3088.8;3044.58;2956.8
VKJA5348;SKF;0;3913.8;3327.06;2935.68;2739.66;2700.72;2622.18
VKJA5349;SKF;0;5336.1;4535.52;4002.24;3735.6;3682.14;3575.22
VKJA5350;SKF;0;3041.94;2585.88;2281.62;2129.16;2098.8;2038.08
VKJA5351;SKF;0;4589.64;3901.26;3442.56;3212.88;3166.68;3074.94
VKJA5352;SKF;0;4920.96;4183.08;3690.72;3444.54;3395.7;3297.36
VKJA5353;SKF;0;5170.44;4394.94;3878.16;3619.44;3567.3;3464.34
VKJA5354;SKF;0;4564.56;3880.14;3423.42;3195.06;3149.52;3058.44
VKJA5356;SKF;0;4658.94;3960;3494.04;3261.06;3214.86;3121.8
VKJA5357;SKF;0;4150.74;3528.36;3113.22;2905.32;2863.74;2781.24
VKJA5359;SKF;0;3626.7;3082.86;2719.86;2539.02;2502.72;2430.12
VKJA5360;SKF;0;4266.24;3626.04;3199.68;2986.5;2943.6;2858.46
VKJA5362;SKF;0;4460.28;3791.04;3345.54;3122.46;3077.58;2988.48
VKJA5363;SKF;0;3795.66;3226.08;2846.58;2657.16;2618.88;2542.98
VKJA5364;SKF;0;3881.46;3299.34;2911.26;2717.22;2678.28;2600.4
VKJA5366;SKF;0;4521.66;3843.18;3391.08;3165.36;3119.82;3029.4
VKJA5368;SKF;0;4785;4067.58;3589.08;3349.5;3301.98;3206.28
VKJA5369;SKF;0;3290.76;2797.08;2468.4;2303.4;2270.4;2205.06
VKJA5370;SKF;0;6325.44;5376.36;4744.08;4427.94;4364.58;4237.86
VKJA5371;SKF;0;6212.58;5280.66;4659.6;4348.74;4286.7;4162.62
VKJA5374;SKF;0;3979.14;3382.5;2984.52;2785.2;2745.6;2665.74
VKJA5375;SKF;0;6155.82;5232.48;4616.7;4309.14;4247.76;4124.34
VKJA5376;SKF;0;3402.3;2892.12;2551.56;2381.94;2347.62;2279.64
VKJA5378;SKF;0;4875.42;4144.14;3656.4;3412.86;3364.02;3266.34
VKJA5379;SKF;0;4890.6;4157.34;3668.28;3423.42;3374.58;3276.9
VKJA5380;SKF;0;4818;4095.3;3613.5;3372.6;3324.42;3228.06
VKJA5381;SKF;0;4398.9;3738.9;3299.34;3079.56;3035.34;2947.56
VKJA5382;SKF;0;3888.72;3305.28;2916.54;2721.84;2682.9;2605.68
VKJA5383;SKF;0;4940.76;4199.58;3705.9;3458.4;3408.9;3310.56
VKJA5386;SKF;0;4008.84;3407.58;3006.96;2806.32;2766.06;2686.2
VKJA5388;SKF;0;4363.92;3709.2;3272.94;3054.48;3010.92;2923.8
VKJA5390;SKF;0;4229.94;3595.68;3172.62;2960.76;2918.52;2834.04
VKJA5391;SKF;0;3430.02;2915.22;2572.68;2401.08;2366.76;2298.12
VKJA5394;SKF;0;5255.58;4467.54;3941.52;3678.84;3626.04;3521.1
VKJA5395;SKF;0;5518.92;4691.28;4139.52;3862.98;3808.2;3697.98
VKJA5396;SKF;0;5772.36;4906.44;4329.6;4040.52;3983.1;3867.6
VKJA5397;SKF;0;4264.92;3625.38;3199.02;2985.18;2942.94;2857.8
VKJA5398;SKF;0;4282.74;3640.56;3212.22;2997.72;2954.82;2869.68
VKJA5399;SKF;0;4539.48;3858.36;3404.94;3177.9;3132.36;3041.28
VKJA5400;SKF;0;2645.94;2249.28;1984.62;1851.96;1825.56;1772.76
VKJA5402;SKF;0;3527.7;2998.38;2645.94;2469.72;2434.08;2363.46
VKJA5403;SKF;0;2314.62;1967.46;1735.8;1620.3;1597.2;1551
VKJA5404;SKF;0;3290.76;2797.08;2468.4;2303.4;2270.4;2205.06
VKJA5405;SKF;0;4820.64;4097.28;3615.48;3374.58;3326.4;3230.04
VKJA5406;SKF;0;3844.5;3267.66;2883.54;2691.48;2652.54;2575.98
VKJA5407;SKF;0;3894;3309.9;2920.5;2725.8;2686.86;2608.98
VKJA5409;SKF;0;4065.6;3455.76;3049.2;2845.92;2805;2723.82
VKJA5410;SKF;0;4203.54;3573.24;3152.82;2942.28;2900.7;2816.22
VKJA5411;SKF;0;4055.7;3447.18;3041.94;2839.32;2798.4;2717.22
VKJA5412;SKF;0;3666.96;3117.18;2750.22;2566.74;2530.44;2457.18
VKJA5413;SKF;0;2224.86;1890.9;1668.48;1557.6;1535.16;1490.94
VKJA5414;SKF;0;3606.24;3065.04;2704.68;2524.5;2488.2;2416.26
VKJA5415;SKF;0;2544.3;2162.82;1908.06;1781.34;1755.6;1704.78
VKJA5417;SKF;0;3607.56;3066.36;2706;2525.16;2489.52;2416.92
VKJA5426;SKF;0;2828.76;2404.38;2121.9;1980;1951.62;1895.52
VKJA5446;SKF;0;4111.8;3495.36;3084.18;2878.26;2837.34;2754.84
VKJA5457;SKF;0;3566.64;3031.38;2674.98;2496.78;2461.14;2389.86
VKJA5471;SKF;0;4478.1;3806.22;3358.74;3135;3090.12;3000.36
VKJA5479;SKF;0;3179.88;2702.7;2385.24;2226.18;2193.84;2130.48
VKJA5487;SKF;0;5763.12;4898.52;4322.34;4033.92;3976.5;3861
VKJA5499;SKF;0;4117.08;3499.32;3088.14;2882.22;2840.64;2758.14
VKJA5500;SKF;0;4701.18;3996.3;3525.72;3290.76;3243.9;3149.52
VKJA5506;SKF;0;3930.3;3340.92;2947.56;2751.54;2711.94;2633.4
VKJA5508;SKF;0;3803.58;3233.34;2852.52;2662.44;2624.16;2548.26
VKJA5509;SKF;0;3841.2;3265.02;2880.9;2688.84;2650.56;2573.34
VKJA5510;SKF;0;2905.32;2469.72;2179.32;2033.46;2004.42;1946.34
VKJA5511;SKF;0;5180.34;4403.52;3885.42;3626.04;3574.56;3470.94
VKJA5513;SKF;0;3851.1;3273.6;2888.16;2696.1;2657.16;2579.94
VKJA5514;SKF;0;2711.28;2304.72;2033.46;1898.16;1871.1;1816.32
VKJA5515;SKF;0;2803.02;2382.6;2102.1;1962.18;1933.8;1877.7
VKJA5516;SKF;0;3972.54;3376.56;2979.24;2780.58;2740.98;2661.78
VKJA5517;SKF;0;3734.28;3173.94;2801.04;2614.26;2576.64;2502.06
VKJA5520;SKF;0;2994.42;2544.96;2245.98;2096.16;2066.46;2006.4
VKJA5521;SKF;0;2896.74;2462.46;2172.72;2027.52;1998.48;1941.06
VKJA5522;SKF;0;3556.08;3022.8;2667.06;2489.52;2453.88;2382.6
VKJA5523;SKF;0;4517.04;3839.22;3387.78;3162.06;3116.52;3026.1
VKJA5524;SKF;0;3441.24;2925.12;2581.26;2409;2374.68;2305.38
VKJA5525;SKF;0;3827.34;3253.14;2870.34;2678.94;2640.66;2564.1
VKJA5526;SKF;0;3913.8;3327.06;2935.68;2739.66;2700.72;2622.18
VKJA5527;SKF;0;3109.92;2643.3;2332.44;2176.68;2145.66;2083.62
VKJA5528;SKF;0;3697.98;3143.58;2773.32;2588.52;2551.56;2477.64
VKJA5530;SKF;0;3261.72;2772.66;2446.62;2282.94;2250.6;2185.26
VKJA5531;SKF;0;2939.64;2498.76;2205.06;2057.88;2028.18;1969.44
VKJA5532;SKF;0;3254.46;2766.06;2440.68;2278.32;2245.32;2180.64
VKJA5533;SKF;0;2817.54;2395.14;2113.32;1972.08;1944.36;1887.6
VKJA5534;SKF;0;3116.52;2649.24;2337.72;2181.3;2150.28;2088.24
VKJA5535;SKF;0;3336.96;2836.68;2502.72;2335.74;2302.74;2236.08
VKJA5536;SKF;0;3735.6;3175.26;2801.7;2614.92;2577.3;2502.72
VKJA5537;SKF;0;4430.58;3765.96;3323.1;3101.34;3057.12;2968.68
VKJA5538;SKF;0;3971.22;3375.24;2978.58;2779.92;2740.32;2660.46
VKJA5539;SKF;0;3119.82;2651.88;2339.7;2183.94;2152.92;2090.22
VKJA5540;SKF;0;3135;2665.08;2351.58;2194.5;2163.48;2100.78
VKJA5541;SKF;0;3894;3309.9;2920.5;2725.8;2686.86;2608.98
VKJA5542;SKF;0;3394.38;2885.52;2545.62;2376;2342.34;2274.36
VKJA5543;SKF;0;3191.76;2713.26;2393.82;2234.1;2202.42;2138.4
VKJA5544;SKF;0;4046.46;3439.26;3034.68;2832.72;2791.8;2711.28
VKJA5545;SKF;0;4820.64;4097.28;3615.48;3374.58;3326.4;3230.04
VKJA5547;SKF;0;4603.5;3913.14;3452.46;3222.78;3176.58;3084.18
VKJA5548;SKF;0;4086.72;3473.58;3065.04;2860.44;2819.52;2738.34
VKJA5549;SKF;0;5854.86;4976.4;4390.98;4098.6;4039.86;3923.04
VKJA5550;SKF;0;3097.38;2632.74;2323.2;2168.1;2137.08;2075.04
VKJA5551;SKF;0;4096.62;3482.16;3072.3;2867.7;2826.78;2744.94
VKJA5552;SKF;0;2849.22;2421.54;2137.08;1994.52;1966.14;1908.72
VKJA5554;SKF;0;2828.1;2403.72;2121.24;1980;1951.62;1894.86
VKJA5555;SKF;0;4082.76;3470.28;3062.4;2857.8;2816.88;2735.7
VKJA5556;SKF;0;3105.96;2640;2329.8;2174.04;2143.02;2080.98
VKJA5557;SKF;0;4278.78;3637.26;3208.92;2995.08;2952.18;2867.04
VKJA5558;SKF;0;3141.6;2670.36;2356.2;2199.12;2167.44;2104.74
VKJA5560;SKF;0;3951.42;3358.74;2963.4;2766.06;2726.46;2647.26
VKJA5561;SKF;0;2777.94;2361.48;2083.62;1944.36;1916.64;1861.2
VKJA5562;SKF;0;2952.18;2509.32;2214.3;2066.46;2036.76;1978.02
VKJA5563;SKF;0;4926.9;4187.7;3695.34;3449.16;3399.66;3301.32
VKJA5564;SKF;0;4005.54;3404.94;3004.32;2803.68;2764.08;2683.56
VKJA5565;SKF;0;3857.04;3278.22;2892.78;2700.06;2661.12;2583.9
VKJA5566;SKF;0;3564;3029.4;2673;2494.8;2459.16;2387.88
VKJA5567;SKF;0;2661.12;2261.82;1995.84;1862.52;1836.12;1782.66
VKJA5568;SKF;0;3736.92;3176.58;2803.02;2615.58;2578.62;2504.04
VKJA5569;SKF;0;3288.12;2795.1;2466.42;2301.42;2269.08;2203.08
VKJA5570;SKF;0;4212.12;3580.5;3159.42;2948.22;2906.64;2822.16
VKJA5571;SKF;0;2995.74;2546.28;2246.64;2096.82;2067.12;2007.06
VKJA5572;SKF;0;3502.62;2977.26;2626.8;2451.9;2416.92;2346.96
VKJA5573;SKF;0;3976.5;3379.86;2982.54;2783.88;2743.62;2664.42
VKJA5574;SKF;0;3615.48;3072.96;2711.94;2531.1;2494.8;2422.2
VKJA5575;SKF;0;4684.02;3981.12;3513.18;3278.88;3232.02;3138.3
VKJA5576;SKF;0;4524.3;3845.82;3393.06;3167.34;3121.8;3031.38
VKJA5577;SKF;0;4150.74;3528.36;3113.22;2905.32;2863.74;2781.24
VKJA5578;SKF;0;4582.38;3895.32;3436.62;3207.6;3162.06;3070.32
VKJA5579;SKF;0;2835.36;2410.32;2126.52;1984.62;1956.24;1899.48
VKJA5580;SKF;0;3672.9;3121.8;2754.84;2571.36;2534.4;2461.14
VKJA5581;SKF;0;4142.16;3521.1;3106.62;2899.38;2857.8;2775.3
VKJA5583;SKF;0;2661.12;2261.82;1995.84;1862.52;1836.12;1782.66
VKJA5584;SKF;0;2810.28;2388.54;2108.04;1967.46;1939.08;1882.98
VKJA5585;SKF;0;3813.48;3241.26;2860.44;2669.7;2631.42;2554.86
VKJA5590;SKF;0;4164.6;3540.24;3123.78;2915.22;2873.64;2790.48
VKJA5591;SKF;0;3909.84;3323.1;2932.38;2737.02;2698.08;2619.54
VKJA5592;SKF;0;4596.24;3906.54;3447.18;3217.5;3171.3;3079.56
VKJA5593;SKF;0;7383.42;6275.94;5537.4;5168.46;5094.54;4946.7
VKJA5594;SKF;0;3931.62;3341.58;2948.88;2752.2;2712.6;2634.06
VKJA5596;SKF;0;2914.56;2477.64;2185.92;2040.06;2011.02;1952.94
VKJA5597;SKF;0;3218.82;2735.7;2414.28;2253.24;2220.9;2156.88
VKJA5598;SKF;0;4553.34;3870.24;3414.84;3187.14;3141.6;3050.52
VKJA5599;SKF;0;3612.84;3070.98;2709.96;2529.12;2492.82;2420.88
VKJA5600;SKF;0;4001.58;3401.64;3001.02;2801.04;2760.78;2680.92
VKJA5602;SKF;0;4288.68;3645.18;3216.84;3002.34;2959.44;2873.64
VKJA5603;SKF;0;4440.48;3774.54;3330.36;3108.6;3063.72;2975.28
VKJA5604;SKF;0;4608.78;3917.76;3456.42;3226.08;3179.88;3088.14
VKJA5605;SKF;0;3172.62;2696.76;2379.3;2220.9;2189.22;2125.86
VKJA5606;SKF;0;2916.54;2478.96;2187.24;2041.38;2012.34;1954.26
VKJA5607;SKF;0;3706.56;3150.84;2779.92;2594.46;2557.5;2483.58
VKJA5608;SKF;0;3363.36;2859.12;2522.52;2354.22;2320.56;2253.24
VKJA5609;SKF;0;7037.58;5982.24;5278.02;4926.24;4855.62;4715.04
VKJA5610;SKF;0;12283.92;10441.2;9212.94;8598.48;8475.72;8230.2
VKJA5613;SKF;0;4900.5;4165.26;3675.54;3430.68;3381.18;3283.5
VKJA5616;SKF;0;3395.7;2886.18;2546.94;2377.32;2343;2275.02
VKJA5617;SKF;0;3758.04;3194.4;2818.86;2630.76;2593.14;2517.9
VKJA5618;SKF;0;3496.02;2971.32;2622.18;2447.28;2412.3;2342.34
VKJA5620;SKF;0;3045.9;2589.18;2284.26;2132.46;2101.44;2040.72
